;fecha;texto;retweets;favoritos;hashtags;menciones;localizacion;origen;topic
6;2021-07-08 00:17:51;AMLO exhibe a Loret, López-Dóriga, Ciro, Azucena Uresti y Paco Zea en el QUIÉN ES QUIÉN. https://t.co/8HHrB5vDe1;315;644;[];[];Mexico, ME;Hootsuite Inc.;López
7;2021-07-07 20:28:21;Acuerdo final: Ricardo López Murphy va a competir en las PASO de Juntos por el Cambio en CABA contra María Eugenia Vidal.;635;2757;[];[];Buenos Aires;Twitter for iPhone;López
8;2021-07-06 23:13:37;"""La alcaldesa se coordina con la primera línea y se descoordina con las instituciones que defienden a los ciudadano… https://t.co/u2ZYkuWqqG";982;1431;[];[];Colombia;Twitter Ads;López
9;2021-07-08 16:27:23;Duque a Claudia López sobre implementación del informe de la CIDH: “La política exterior la dirige el Gobierno naci… https://t.co/AXc7sswqSs;267;728;[];[];Colombia;Echobox;López
10;2021-07-08 12:50:27;Claudia López no es competente para implementar recomendaciones de CIDH: Marta Lucía Ramírez #MañanasBLU https://t.co/IBrBBK1Z39;326;778;['MañanasBLU'];[];Bogotá, D.C., Colombia;Social Sharing Brightspot;López
11;2021-07-08 13:06:36;"Sí, Cristiano Ronaldo llegó a la 'mañanera'. 

Así recordó el presidente López Obrador la acción del delantero port… https://t.co/Q6QWflsmPs";191;952;[];[];Ciudad de México;Twitter Media Studio;López
12;2021-07-07 01:49:51;"the name of every play the Suns have run so far = ""Where is Brook Lopez?""";822;10178;[];[];New York, NY;Twitter Web App;López
13;2021-07-07 14:11:42;"🔴""O el señor López-Dóriga tuitea sin saber lo que difunde o lo hace de mala fe"": García Vilchis.👇… https://t.co/1ZtzbwmhJH";326;847;[];[];Ciudad de México;Hootsuite Inc.;López
14;2021-07-07 19:16:03;La iniciativa de crear Gas Bienestar, muy propia de los tiempos de Echeverría o López Portillo, generará competenci… https://t.co/Ci4FX1fN4G;292;892;[];[];México;Twitter Web App;López
1;2021-07-07 10:27:51;"정답..! W는 위버스 매거진 거울셀카!!
#태현 #TAEHYUN https://t.co/zl4tgtK1lp";57827;304082;['태현', 'TAEHYUN'];[];;Twitter for Android;taehyun
2;2021-07-06 09:39:03;"S가 많네요 S는 스튜디오 춤 셀카였어요ㅎ
#태현 #TAEHYUN https://t.co/wOnbeF4uBi";53016;283158;['태현', 'TAEHYUN'];[];;Twitter for Android;taehyun
